"APPRAISAL_YR","ACCOUNT_NUM","LATE_APP_IND","LATE_DOC_IND"
"2019","99000000216383200","N","N"
"2019","99000000216383750","N","N"
"2019","99000000216391750","N","N"
"2019","99000000216397600","N","N"
"2019","99000000216404250","N","N"
"2019","99000000216406900","N","N"
"2019","99000000216424200","N","N"
"2019","99000000216427350","N","N"
"2019","99000000216440000","N","N"
"2019","99000000216454350","N","N"
"2019","99000000216467000","N","N"
"2019","99000000216474450","N","N"
"2019","99000000216479400","N","N"
"2019","99150408103000000","N","N"
"2019","99150408105000000","N","N"
"2019","99150408158000000","N","N"
"2019","99150408177000000","N","N"
"2019","99150408185000000","N","N"
"2019","99150408186000000","N","N"
"2019","99150408187000000","N","N"
"2019","99150423110000000","N","N"
"2019","99150423900000000","N","N"
"2019","99150429240000000","N","N"
"2019","99150430230000000","N","N"
"2019","99150430240000000","N","N"
"2019","99150501100000000","N","N"
"2019","99150501200000000","N","N"
"2019","99150504800000000","N","N"
"2019","99150505180000000","N","N"
"2019","99150505250000000","N","N"
"2019","99150506120000000","N","N"
"2019","99150506130000000","N","N"
"2019","99150506140000000","N","N"
"2019","99150506160000000","N","N"
"2019","99150507670000000","N","N"
"2019","99150511150000000","N","N"
"2019","99150514100000000","N","N"
"2019","99150514200000000","N","N"
"2019","99150514300000000","N","N"
"2019","99150514400000000","N","N"
"2019","99150514600000000","N","N"
"2019","99150616200000000","N","N"
"2019","99150706300000000","N","N"
"2019","99150727187000000","N","N"
"2019","99150727213000000","N","N"
"2019","99150727420000000","N","N"
"2019","99150728710000000","N","N"
"2019","99150826120000000","N","N"
"2019","99150901350000000","N","N"
"2019","99150915650000000","N","N"
"2019","99150916620000000","N","N"
"2019","99150928210000000","N","N"
"2019","99151019130000000","N","N"
"2019","99151102280000000","N","N"
"2019","99151123550000000","N","N"
"2019","99151203390000000","N","N"
"2019","99151216870000000","N","N"
"2019","99151221260000000","N","N"
"2019","99160104180000000","N","N"
"2019","99160106470000000","N","N"
"2019","99160114210000000","N","N"
"2019","99160114800000000","N","N"
"2019","99160114880000000","N","N"
"2019","99160119700000000","N","N"
"2019","99160202120000000","N","N"
"2019","99160202660000000","N","N"
"2019","99160222460000000","N","N"
"2019","99160309102000000","N","N"
"2019","99160309106000000","N","N"
"2019","99160310290000000","N","N"
"2019","99160310700000000","N","N"
"2019","99160315100000000","N","N"
"2019","99160316100000000","N","N"
"2019","99160316154000000","N","N"
"2019","99160316620000000","N","N"
"2019","99160317110000000","N","N"
"2019","99160317170000000","N","N"
"2019","99160317190000000","N","N"
"2019","99160317420000000","N","N"
"2019","99160317450000000","N","N"
"2019","99160318100000000","N","N"
"2019","99160322110000000","N","N"
"2019","99160323820000000","Y","N"
"2019","99160329530000000","N","N"
"2019","99160331250000000","N","N"
"2019","99160404360000000","N","N"
"2019","99160406230000000","N","N"
"2019","99160406270000000","N","N"
"2019","99160411150000000","N","N"
"2019","99160411510000000","N","N"
"2019","99160412220000000","N","N"
"2019","99160412270000000","Y","N"
"2019","99160412500000000","N","N"
"2019","99160412600000000","N","N"
"2019","99160413390000000","N","N"
"2019","99160419590000000","N","N"
"2019","99160421600000000","N","N"
"2019","99160428110000000","N","N"
"2019","99160428130000000","N","N"
"2019","99160503110000000","N","N"
"2019","99160503500000000","N","N"
"2019","99160503800000000","N","N"
"2019","99160504110000000","N","N"
"2019","99160505360000000","N","N"
"2019","99160509150000000","N","N"
"2019","99160509400000000","N","N"
"2019","99160510400000000","N","N"
"2019","99160510500000000","N","N"
"2019","99160516150000000","N","N"
"2019","99160516160000000","N","N"
"2019","99160614100000000","N","N"
"2019","99160713100000000","N","N"
"2019","99160725450000000","N","N"
"2019","99160725890000000","N","N"
"2019","99160726103000000","N","N"
"2019","99160726105000000","N","N"
"2019","99160726660000000","N","N"
"2019","99160801240000000","N","N"
"2019","99160809170000000","N","N"
"2019","99160815180000000","N","N"
"2019","99160815280000000","N","N"
"2019","99160825300000000","N","N"
"2019","99160912620000000","N","N"
"2019","99160912690000000","N","N"
"2019","99160914370000000","N","N"
"2019","99161003450000000","N","N"
"2019","99161003540000000","N","N"
"2019","99161009700000000","N","N"
