"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","SEQ_NUM","IMPR_TYP_DESC","IMPR_DESC","YR_BUILT","CONSTR_TYP_DESC","FLOOR_TYP_DESC","EXT_WALL_DESC","NUM_STORIES","AREA_SIZE","VAL_AMT","DEPRECIATION_PCT"
"00000138331010000","2019","00000138331010000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","420","6300.00",".10"
"00000138332000000","2019","00000138332000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".35"
"00000138333000000","2019","00000138333000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".30"
"00000138334000000","2019","00000138334000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".30"
"00000138335000000","2019","00000138335000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".35"
"00000138336000000","2019","00000138336000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".30"
"00000138337000000","2019","00000138337000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".40"
"00000138338000000","2019","00000138338000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".40"
"00000138338500000","2019","00000138338500000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".30"
"00000138339000000","2019","00000138339000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","360","5400.00",".30"
"00000138346000000","2019","00000138346000000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","325","9015.14",".55"
"00000138349000000","2019","00000138349000000","1","DETACHED GARAGE","","1000","FR-FRAME","DIRT","FRAME","0","400","4000.00",".75"
"00000138364000000","2019","00000138364000000","1","DETACHED GARAGE","","1000","FR-FRAME","CONCRETE","FRAME","0","315","3150.00",".75"
