"","Acct","count_of_311","count_of_311_scaled"
"1","00000100966000000",1,0.693255533297688
"2","00000100972000000",1,0.693255533297688
"3","00000100975000000",1,0.693255533297688
"4","00000101154000000",23,15.9448772658468
"5","00000103705000000",1,0.693255533297688
"6","00000103717000000",1,0.693255533297688
"7","00000104077000000",1,0.693255533297688
"8","00000104083000000",1,0.693255533297688
"9","00000104086000000",1,0.693255533297688
"10","00000109624000000",1,0.693255533297688
"11","00000110866000000",1,0.693255533297688
"12","00000110870000000",1,0.693255533297688
"13","00000113113000000",1,0.693255533297688
"14","00000113116000000",1,0.693255533297688
"15","00000115735000000",1,0.693255533297688
"16","00000118702000000",1,0.693255533297688
"17","00000119953000000",1,0.693255533297688
"18","00000120058000000",1,0.693255533297688
"19","00000120187000000",1,0.693255533297688
"20","00000120193000000",3,2.07976659989306
"21","00000120235000000",1,0.693255533297688
"22","00000120238000000",2,1.38651106659538
"23","00000121177000000",1,0.693255533297688
"24","00000121402000000",2,1.38651106659538
"25","00000121405000000",5,3.46627766648844
"26","00000121408000000",4,2.77302213319075
"27","00000121411000000",3,2.07976659989306
"28","00000121768000000",1,0.693255533297688
"29","00000121774000000",1,0.693255533297688
"30","00000121777000000",2,1.38651106659538
"31","00000121780000000",1,0.693255533297688
"32","00000122095000000",1,0.693255533297688
"33","00000122842000000",1,0.693255533297688
"34","00000122863000000",1,0.693255533297688
"35","00000122956000000",1,0.693255533297688
"36","00000123040000000",1,0.693255533297688
"37","00000123043000000",1,0.693255533297688
"38","00000123280000000",1,0.693255533297688
"39","00000123289000000",1,0.693255533297688
"40","00000123895000000",1,0.693255533297688
"41","00000123931000000",2,1.38651106659538
"42","00000123934000000",3,2.07976659989306
"43","00000123937000000",2,1.38651106659538
"44","00000123949000000",1,0.693255533297688
"45","00000124318000000",3,2.07976659989306
"46","00000124321000000",4,2.77302213319075
"47","00000124324000000",3,2.07976659989306
"48","00000124645000000",1,0.693255533297688
"49","00000124738000000",1,0.693255533297688
"50","00000124747000000",1,0.693255533297688
"51","00000125392000000",2,1.38651106659538
"52","00000125404000000",1,0.693255533297688
"53","00000125446000000",2,1.38651106659538
"54","00000125449000000",2,1.38651106659538
"55","00000125473000000",1,0.693255533297688
"56","00000125476000000",2,1.38651106659538
"57","00000125545000000",1,0.693255533297688
"58","00000125548000000",1,0.693255533297688
"59","00000125551000000",1,0.693255533297688
"60","00000125575000000",1,0.693255533297688
"61","00000125581000000",1,0.693255533297688
"62","00000125584000000",1,0.693255533297688
"63","00000125587000000",1,0.693255533297688
"64","00000125599000000",1,0.693255533297688
"65","00000125602000000",1,0.693255533297688
"66","00000125650000000",1,0.693255533297688
"67","00000125764000000",1,0.693255533297688
"68","00000126025000000",3,2.07976659989306
"69","00000126034000000",1,0.693255533297688
"70","00000126052000000",1,0.693255533297688
"71","00000126139000000",1,0.693255533297688
"72","00000126376000000",1,0.693255533297688
"73","00000126379000000",1,0.693255533297688
"74","00000129379000000",1,0.693255533297688
"75","00000129382000000",1,0.693255533297688
"76","00000129400000000",1,0.693255533297688
"77","00000130303000000",1,0.693255533297688
"78","00000130306000000",1,0.693255533297688
"79","00000130324000000",1,0.693255533297688
"80","00000130333000000",1,0.693255533297688
"81","00000130396000100",1,0.693255533297688
"82","00000130399000000",1,0.693255533297688
"83","00000136015000000",1,0.693255533297688
"84","00000136324000000",1,0.693255533297688
"85","00000140509000100",1,0.693255533297688
"86","00000141343000000",1,0.693255533297688
"87","00000141490000000",1,0.693255533297688
"88","00000141493000000",1,0.693255533297688
"89","00000141577000000",2,1.38651106659538
"90","00000143065000000",1,0.693255533297688
"91","00000143449000000",1,0.693255533297688
"92","00000143470000000",1,0.693255533297688
"93","00000143473000000",1,0.693255533297688
"94","00000143647000000",2,1.38651106659538
"95","00000143650000000",2,1.38651106659538
"96","00000143653000000",2,1.38651106659538
"97","00000143833000000",1,0.693255533297688
"98","00000145588000000",2,1.38651106659538
"99","00000145984000000",1,0.693255533297688
"100","00000146032000000",1,0.693255533297688
"101","00000146035000000",1,0.693255533297688
"102","00000146638000000",1,0.693255533297688
"103","00000147097000000",1,0.693255533297688
"104","00000147139000000",2,1.38651106659538
"105","00000147142000000",1,0.693255533297688
"106","00000147157000000",3,2.07976659989306
"107","00000147160000000",2,1.38651106659538
"108","00000147244000000",1,0.693255533297688
"109","00000147334000000",1,0.693255533297688
"110","00000147337000000",1,0.693255533297688
"111","00000147340000000",2,1.38651106659538
"112","00000147343000000",1,0.693255533297688
"113","00000147394000000",1,0.693255533297688
"114","00000147397000000",1,0.693255533297688
"115","00000147421000000",1,0.693255533297688
"116","00000147424000000",1,0.693255533297688
"117","00000147466000000",1,0.693255533297688
"118","00000147547000000",1,0.693255533297688
"119","00000147589000000",1,0.693255533297688
"120","00000147829000000",1,0.693255533297688
"121","00000147835000000",1,0.693255533297688
"122","00000148066000000",1,0.693255533297688
"123","00000148180000000",1,0.693255533297688
"124","00000148237000000",1,0.693255533297688
"125","00000148300000000",1,0.693255533297688
"126","00000148408000000",2,1.38651106659538
"127","00000148411000000",1,0.693255533297688
"128","00000149017000000",1,0.693255533297688
"129","00000149326000000",1,0.693255533297688
"130","00000150238000000",1,0.693255533297688
"131","00000150328000000",1,0.693255533297688
"132","00000150859000000",1,0.693255533297688
"133","00000151150000000",1,0.693255533297688
"134","00000151207000000",1,0.693255533297688
"135","00000152068000000",1,0.693255533297688
"136","00000152071000000",1,0.693255533297688
"137","00000152494000000",1,0.693255533297688
"138","00000152692000000",1,0.693255533297688
"139","00000152698000000",1,0.693255533297688
"140","00000152701000000",2,1.38651106659538
"141","00000152704000000",3,2.07976659989306
"142","00000152710000000",1,0.693255533297688
"143","00000152743000000",2,1.38651106659538
"144","00000152749000000",1,0.693255533297688
"145","00000152782000000",1,0.693255533297688
"146","00000152824000000",3,2.07976659989306
"147","00000153112000000",1,0.693255533297688
"148","00000153115000000",1,0.693255533297688
"149","00000153133000000",1,0.693255533297688
"150","00000153742000000",1,0.693255533297688
"151","00000155782000000",1,0.693255533297688
"152","00000155941000000",1,0.693255533297688
"153","00000155968000000",2,1.38651106659538
"154","00000155968000100",1,0.693255533297688
"155","00000155971000000",1,0.693255533297688
"156","00000155986000000",1,0.693255533297688
"157","00000155992000000",1,0.693255533297688
"158","00000157060000000",1,0.693255533297688
"159","00000158251000000",1,0.693255533297688
"160","00000158845000000",3,2.07976659989306
"161","00000159331000000",2,1.38651106659538
"162","00000159334000000",5,3.46627766648844
"163","00000160114000000",1,0.693255533297688
"164","00000160117000000",1,0.693255533297688
"165","00000160177000000",1,0.693255533297688
"166","00000160735000300",1,0.693255533297688
"167","00000160750000000",2,1.38651106659538
"168","00000162022000000",1,0.693255533297688
"169","00000162025000000",1,0.693255533297688
"170","00000162658000000",2,1.38651106659538
"171","00000162805000100",1,0.693255533297688
"172","00000162892000000",1,0.693255533297688
"173","00000162895000000",1,0.693255533297688
"174","00000163183000000",1,0.693255533297688
"175","00000163186000000",1,0.693255533297688
"176","00000163246000000",1,0.693255533297688
"177","00000163249000000",1,0.693255533297688
"178","00000164980000000",1,0.693255533297688
"179","00000164983000000",1,0.693255533297688
"180","00000166459000000",1,0.693255533297688
"181","00000166462000000",1,0.693255533297688
"182","00000168199000000",1,0.693255533297688
"183","00000168202000000",1,0.693255533297688
"184","00000168220000000",1,0.693255533297688
"185","00000168223000000",1,0.693255533297688
"186","00000168226000000",1,0.693255533297688
"187","00000168382000000",1,0.693255533297688
"188","00000168385000000",1,0.693255533297688
"189","00000168388000000",1,0.693255533297688
"190","00000168451000000",1,0.693255533297688
"191","00000168454000000",1,0.693255533297688
"192","00000169627000000",1,0.693255533297688
"193","00000169630000000",1,0.693255533297688
"194","00000169633000000",1,0.693255533297688
"195","00000169792000000",1,0.693255533297688
"196","00000169795000000",1,0.693255533297688
"197","00000169906000000",1,0.693255533297688
"198","00000169942000000",1,0.693255533297688
"199","00000169945000000",1,0.693255533297688
"200","00000169984000000",1,0.693255533297688
"201","00000170017000000",1,0.693255533297688
"202","00000170023000000",1,0.693255533297688
"203","00000170026000000",1,0.693255533297688
"204","00000170065000000",1,0.693255533297688
"205","00000170089000000",2,1.38651106659538
"206","00000170182000000",1,0.693255533297688
"207","00000170185000000",1,0.693255533297688
"208","00000170842000000",1,0.693255533297688
"209","00000170845000000",1,0.693255533297688
"210","00000171241000000",1,0.693255533297688
"211","00000171244000000",1,0.693255533297688
"212","00000171247000000",1,0.693255533297688
"213","00000171466000000",1,0.693255533297688
"214","00000171469000000",1,0.693255533297688
"215","00000171472000000",1,0.693255533297688
"216","00000172457000000",1,0.693255533297688
"217","00000173080000000",1,0.693255533297688
"218","00000173188000000",1,0.693255533297688
"219","00000173398000000",2,1.38651106659538
"220","00000173422000000",2,1.38651106659538
"221","00000173428000000",2,1.38651106659538
"222","00000174532000000",1,0.693255533297688
"223","00000174535000000",1,0.693255533297688
"224","00000174901000000",1,0.693255533297688
"225","00000174907000000",1,0.693255533297688
"226","00000174910000000",1,0.693255533297688
"227","00000174964000000",1,0.693255533297688
"228","00000175543000000",1,0.693255533297688
"229","00000175705000000",1,0.693255533297688
"230","00000175708000000",1,0.693255533297688
"231","00000176359000000",1,0.693255533297688
"232","00000177184000000",1,0.693255533297688
"233","00000178054000000",1,0.693255533297688
"234","00000178057000000",1,0.693255533297688
"235","00000178243000000",1,0.693255533297688
"236","00000179680000000",1,0.693255533297688
"237","00000180202000000",1,0.693255533297688
"238","00000180244000000",1,0.693255533297688
"239","00000180256000000",1,0.693255533297688
"240","00000180460000000",1,0.693255533297688
"241","00000180514000000",2,1.38651106659538
"242","00000180529000000",1,0.693255533297688
"243","00000180532000000",1,0.693255533297688
"244","00000180652000000",2,1.38651106659538
"245","00000180655000000",2,1.38651106659538
"246","00000180658000000",1,0.693255533297688
"247","00000180661000000",1,0.693255533297688
"248","00000180757000000",1,0.693255533297688
"249","00000180814000000",1,0.693255533297688
"250","00000181771000000",1,0.693255533297688
"251","00000181951000000",1,0.693255533297688
"252","00000181972000000",1,0.693255533297688
"253","00000182032000000",1,0.693255533297688
"254","00000182038000000",1,0.693255533297688
"255","00000182380000000",1,0.693255533297688
"256","00000182383000000",1,0.693255533297688
"257","00000182527000000",1,0.693255533297688
"258","00000182551000000",2,1.38651106659538
"259","00000182554000000",1,0.693255533297688
"260","00000182632000000",2,1.38651106659538
"261","00000182968000000",1,0.693255533297688
"262","00000182971000000",1,0.693255533297688
"263","00000183475000000",1,0.693255533297688
"264","00000183601000000",1,0.693255533297688
"265","00000183604000000",1,0.693255533297688
"266","00000183931000000",1,0.693255533297688
"267","00000183934000000",1,0.693255533297688
"268","00000184345000000",1,0.693255533297688
"269","00000184420000000",1,0.693255533297688
