"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"5598","00000285160000000","Building (BU) Single Family  Addition","2018/10/03 00:00:00","55-P",2018-10-03,1,913
"5599","00000232000000000","Building (BU) Single Family  Addition","2018/10/03 00:00:00","37-S",2018-10-03,1,913
"5600","00000231997000000","Building (BU) Single Family  Addition","2018/10/03 00:00:00","37-S",2018-10-03,1,913
"5601","00000232105000000","Building (BU) Single Family  Addition","2018/10/03 00:00:00","37-S",2018-10-03,1,913
"5602","00000748951000000","Building (BU) Single Family  Addition","2018/10/04 00:00:00","27-R",2018-10-04,1,912
"5603","00000416824000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","24-G",2018-10-05,1,911
"5604","00000739051000000","Building (BU) Single Family  Addition","2018/10/01 00:00:00","25-C",2018-10-01,1,915
"5605","00000739276000000","Building (BU) Single Family  Addition","2018/10/01 00:00:00","25-C",2018-10-01,1,915
"5606","00000820795080000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","71B-A",2018-10-05,1,911
"5607","00000820795060000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","71B-A",2018-10-05,1,911
"5608","00000820801080000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","71B-A",2018-10-05,1,911
"5609","00000383959000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","38-J",2018-10-30,2,886
"5610","00000383962000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","38-J",2018-10-30,2,886
"5611","00000383959000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","38-J",2018-10-30,2,886
"5612","00000383962000000","Building (BU) Single Family  Addition","2018/10/30 00:00:00","38-J",2018-10-30,2,886
"5613","00000813688000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","69-N,69-P",2018-10-08,1,908
"5614","00000799677430000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","5-P",2018-10-05,1,911
"5615","00000799677440000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","5-P",2018-10-05,1,911
"5616","00000794079330000","Building (BU) Single Family  Addition","2018/10/10 00:00:00","27-N",2018-10-10,1,906
"5617","00000794079430000","Building (BU) Single Family  Addition","2018/10/10 00:00:00","27-N",2018-10-10,1,906
"5618","00000794079440000","Building (BU) Single Family  Addition","2018/10/10 00:00:00","27-N",2018-10-10,1,906
"5619","00000794079340000","Building (BU) Single Family  Addition","2018/10/10 00:00:00","27-N",2018-10-10,1,906
"5620","00000729643000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","38-P",2018-10-08,2,908
"5621","00000567034000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","58-M",2018-10-08,1,908
"5622","00000354322000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","34-D",2018-10-08,1,908
"5623","00000354325000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","34-D",2018-10-08,1,908
"5624","00000605674000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","28-Z",2018-10-09,1,907
"5625","00000605677000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","28-Z",2018-10-09,1,907
"5626","00000419566000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","24-Q",2018-10-05,1,911
"5627","00000523837000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","23-R",2018-10-05,1,911
"5628","00000523951000000","Building (BU) Single Family  Addition","2018/10/05 00:00:00","23-R",2018-10-05,1,911
"5629","00000299536000000","Building (BU) Single Family  Addition","2018/10/09 00:00:00","44-T",2018-10-09,1,907
"5630","00000432745000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","23-X,23-Y",2018-10-08,1,908
"5631","00000432748000000","Building (BU) Single Family  Addition","2018/10/08 00:00:00","23-X,23-Y",2018-10-08,1,908
